,problem,difficulty
218,lsn11_imagesize,0.133074692
219,a3_6_tests,0.133563667
220,a3_5_chess,0.134060525
221,a2_6_traffic_lights,0.139740443
222,lsn12_circle,0.14146601
224,lsn11_callme,0.141851426
225,a3_5_battleship,0.142833151
228,a2_6_grades,0.144282853
229,lsn25_skill2,0.144592668
230,a1_7_digitalstorage,0.145114056
231,a1_6_printer,0.145661335
232,a1_3_cones,0.146595405
233,lsn33_practice7,0.146926565
234,a2_6_network_traffic,0.151989971
235,lsn13_skill2,0.152328497
236,lsn14_skill2,0.152746609
239,lsn13_waittimes,0.15752137
242,lsn19_population,0.163026635
244,a2_4_colon,0.166152651
246,a1_7_broadband,0.167480116
247,a4_7_fit_u,0.167588974
248,a3_5_carnival,0.168220348
249,a1_7_missilethreat,0.168317796
252,a1_7_payload,0.1706231
253,lsn33_practice4,0.170712339
254,a4_5_password,0.17093194
255,lsn19_movies,0.171165496
256,lsn8_roundtrip,0.171556412
257,a3_5_star_map,0.171611452
258,lsn9_practice4,0.171847407
259,lsn4_printpractice,0.171872243
260,lsn5_arrivaltime,0.172256284
261,lsn15_skill1,0.174662863
263,lsn25_crashanalysis,0.180070625
265,a2_3_twenty_one,0.183498824
266,lsn14_class2017,0.183858005
267,a1_7_evacuation,0.187454816
268,a4_5_areacode,0.187775587
269,a4_5_translate,0.189265732
271,lsn20_averagetraffic,0.191634094
276,a1_6_scuba,0.196576415
278,a2_6_virus,0.199696194
279,a2_6_gameday,0.200901274
280,a1_6_woodshop,0.205540331
282,lsn14_football,0.206115407
285,a2_2_bmi,0.208972406
286,a2_4_comma,0.210659121
287,lsn25_rectangle,0.21134768
289,lsn4_parking,0.214341521
290,a2_3_countdown,0.215484977
291,a4_7_fit_e,0.216004263
292,lsn12_asteroids,0.216350478
293,lsn25_tokens,0.217936811
295,lsn13_count,0.219385332
296,lsn4_ascii,0.219517066
297,lsn20_skill1,0.220875184
298,lsn12_in_circle,0.220962939
299,lsn25_contactlist,0.223879177
303,a2_3_19,0.231981288
304,lsn9_practice2,0.242607998
306,lsn8_lists,0.245707677
307,lsn14_coordinates,0.247858576
309,a2_6_combat,0.249645701
312,lsn18_grades,0.262399073
313,lsn19_credit,0.262780186
314,lsn25_crashes,0.263645228
315,lsn26_percentile,0.263926859
316,lsn33_practice1,0.26437976
317,a3_7_min_lego,0.264539255
318,a2_3_fourty_two,0.266476493
320,a4_6_flighthours,0.271291385
322,a3_7_max_lego,0.274953589
323,a3_1_countries,0.277678384
324,lsn26_calculus,0.280413204
325,a2_3_seventeen,0.282077889
326,lsn13_countby10s,0.284772038
328,a4_6_aft,0.286361247
329,a3_1_afbs,0.286751509
330,a2_4_dash,0.287556218
332,lsn5_girlscouts,0.29254583
333,lsn13_squadrons,0.294696622
334,lsn16_practice3,0.296450211
335,a3_1_commands,0.301495994
336,a4_6_scores,0.305483698
339,a2_7_fastest,0.311134248
340,a3_7_minpower,0.3122891
341,a3_7_maxpower,0.314502813
342,lsn13_averagerun,0.316608698
343,a2_7_highest_hp,0.320072043
344,lsn24_airspeed,0.321388927
345,lsn24_mitches,0.326049723
348,lsn18_combinations,0.331374842
349,a3_1_cargo,0.333405917
352,lsn20_sat,0.340102138
354,a3_1_medals,0.345880641
355,a2_7_attack,0.346849469
357,lsn13_cargocapacity,0.35601779
359,a3_7_max,0.360003522
360,lsn20_unpopularnames,0.362527045
362,lsn6_projectile,0.367814104
364,lsn20_lowvolume,0.370707178
367,lsn33_practice8,0.379724048
368,lsn14_printchars,0.389897511
370,lsn16_practice2,0.40763216
371,a2_7_lowest_defense,0.420823501
372,a2_7_lowest_spec_attack,0.425211115
373,lsn18_names,0.433341053
374,lsn33_practice2,0.434953728
376,lsn18_namesreverse,0.453307664
377,lsn18_swimstats,0.459387425
378,lsn16_practice4,0.460877866
379,lsn19_golf,0.486915013
381,lsn13_dvc,0.493139688
383,lsn6_math,0.525386837
384,lsn15_echo,0.528138385
385,caesar_gc,0.54262979
387,lsn20_popularnames,0.573102554
388,lsn15_titanicsurvivor,0.584515603
389,lsn15_runways,0.613383476
390,caesar,0.646756661
391,lsn19_100m,0.647130832
392,lsn24_education,0.659379222
394,lsn15_titanicfares,0.672692629
395,lsn15_survivors_by_gender,0.72533048
396,lsn24_nasa,0.742960645
